Date,Title,URL,md_file,Job_Description
2026-05-08,"Executive General Manager, Consumer and Fair Trading",https://www.apsjobs.gov.au/s/job-details?title=executive-general-manager-consumer-and-fair-trading&Id=a05OY00000OU1TtYAL,1.md,"ACCC is hiring [Executive General Manager, Consumer and Fair Trading](https://www.apsjobs.gov.au/aps_VacancyDetailPage?id=a05OY00000OU1TtYAL) for its Consumer and Fair Trading team."
2026-05-08,Directors - Regulatory and Policy,https://www.apsjobs.gov.au/s/job-details?title=directors-regulatory-and-policy&Id=a05OY00000OTwpCYAT,2.md,"Department of Climate Change, Energy, the Environment and Water (DCCEEW) is hiring [Directors - Regulatory and Policy](https://www.apsjobs.gov.au/s/job-details?title=directors-regulatory-and-policy&Id=a05OY00000OTwpCYAT) for the National EPA team."
2026-05-08,Information Compliance Lead,https://www.apsjobs.gov.au/s/job-details?title=information-compliance-lead&Id=a05OY00000OTSeDYAX,3.md,CSIRO is hiring [Information Compliance Lead](https://www.apsjobs.gov.au/s/job-details?title=information-compliance-lead&Id=a05OY00000OTSeDYAX) for its Enterprise Information Management team.
2026-05-08,Senior Ranger,https://www.apsjobs.gov.au/s/job-details?title=senior-ranger&Id=a05OY00000OTKYbYAP,4.md,DCCEEW is hiring [Senior Ranger](https://www.apsjobs.gov.au/s/job-details?title=senior-ranger&Id=a05OY00000OTKYbYAP) for Parks Australia’s ANBG Science Branch.
2026-05-07,"EL1 - Assistant Director, NVES Regulatory Operations",https://www.apsjobs.gov.au/s/job-details?title=el1-assistant-director-nves-regulatory-operations&Id=a05OY00000OSflZYAT,5.md,"Australian Public Service is hiring [EL1 - Assistant Director, NVES Regulatory Operations](https://www.apsjobs.gov.au/s/job-details?title=el1-assistant-director-nves-regulatory-operations&Id=a05OY00000OSflZYAT) for its NVES Regulatory Operations team."
2026-05-07,Fire Management Support Officer - Identified,https://www.apsjobs.gov.au/s/job-details?title=fire-management-support-officer-identified&Id=a05OY00000OR2CnYAL,6.md,"Department of Climate Change, Energy, the Environment and Water (DCCEEW) is hiring [Fire Management Support Officer - Identified](https://www.apsjobs.gov.au/aps_VacancyDetailPage?id=a05OY00000OR2CnYAL) for Kakadu National Park's fire management team."
2026-05-07,Senior Multimedia Production Officer,https://www.apsjobs.gov.au/s/job-details?title=senior-multimedia-production-officer&Id=a05OY00000OPWJpYAP,7.md,Clean Energy Regulator is hiring [Senior Multimedia Production Officer](https://www.apsjobs.gov.au/s/job-details?title=senior-multimedia-production-officer&Id=a05OY00000OPWJpYAP) for its Communications team.
2026-05-07,Permits & Licenses Manager (Affirmative Measure - Indigenous),https://www.apsjobs.gov.au/s/job-details?title=permits-licenses-manager-affirmative-measure-indigenous-&Id=a05OY00000OLiUrYAL,8.md,"Department of Climate Change, Energy, the Environment and Water is hiring [Permits & Licences Manager (Affirmative Measure - Indigenous)](https://www.apsjobs.gov.au/s/job-details?title=permits-licenses-manager-affirmative-measure-indigenous-&Id=a05OY00000OLiUrYAL) for its Affirmative Measure - Indigenous team."
2026-05-07,Permits & Licenses Manager,https://www.apsjobs.gov.au/s/job-details?title=permits-licenses-manager&Id=a05OY00000OLguTYAT,9.md,"DCCEEW is hiring [Permits & Licences Manager](https://www.apsjobs.gov.au/s/job-details?title=permits-licenses-manager&Id=a05OY00000OLguTYAT) for its Permits, Licences & Assessments Section."
2026-05-06,Fire Management Support Officer- Affirmative measure (Indigenous),https://www.apsjobs.gov.au/s/job-details?title=fire-management-support-officer-affirmative-measure-indigenous-&Id=a05OY00000OR0qvYAD,10.md,"Department of Climate Change, Energy, the Environment and Water is hiring [Fire Management Support Officer- Affirmative measure (Indigenous)](https://www.apsjobs.gov.au/s/job-details?title=fire-management-support-officer-affirmative-measure-indigenous-&Id=a05OY00000OR0qvYAD) for its Kakadu Country Section fire management program."
