Date,Title,URL,md_file,ESG_or_not
2026-05-08,Victoria’s first female mining warden appointed,https://resources.vic.gov.au/about-us/news/victorias-first-female-mining-warden-appointed,1.md,Yes
2026-05-07,Joint operation takes aim at international scam syndicate,https://www.ato.gov.au/media-centre/joint-operation-takes-aim-at-international-scam-syndicate,CLEANED,NO FILE
2026-05-05,Nominate now for the 2026 Australian Biosecurity Awards,https://www.agriculture.gov.au/about/news/nominate-now-2026-aba,3.md,Yes
2026-05-01,Detector dog teams protect Australia from exotic animal diseases,https://www.agriculture.gov.au/about/news/detector-dog-teams-protect,4.md,Yes
2026-05-07,$3 million Green Sheep Project launched at Agfest,https:// minister.agriculture.gov.au/collins/media-releases/green-sheep-project-launch-agfest,FAILED,NO FILE
2026-05-06,Joint media release: Government securing more fuel reserves,https://minister.agriculture.gov.au/collins/media-releases/government-securing-more-fuel-reserves,6.md,Yes
2026-05-06,Joint media release: Boosting the resilience of Tasmanian farmers,https://minister.agriculture.gov.au/collins/media-releases/farm-business-resilience-program-second-phase-tasmania,7.md,Yes
2026-05-05,Celebrating biosecurity champions across the country,https://minister.agriculture.gov.au/collins/media-releases/celebrating-biosecurity-champions-across-country,8.md,Yes
2026-05-01,New Inspector General appointed to oversee animal welfare and live animal exports,https://minister.agriculture.gov.au/collins/media-release/media-release-inspector-general-of-animal-welfare-and-live-animal-exports-ashley-bunce,9.md,Yes
2026-05-01,New market access to Indonesia for five export meat establishments,https://minister.agriculture.gov.au/collins/media-release/media-release-five-new-export-meat-establishments-approved-for-indonesia,10.md,Yes
2026-05-08,25 years of Mangrove Jack research delivers outstanding results for Gladstone anglers,https://statements.qld.gov.au/statements/105032,11.md,Yes
2026-05-08,Major Commissioning fund for bigger and bolder Queensland-made arts experiences,https://statements.qld.gov.au/statements/105038,12.md,Yes
2026-05-08,Countdown on to beefed up Beef2027,https://statements.qld.gov.au/statements/105037,13.md,No
2026-05-08,Apprenticeship numbers soar as Crisafulli Government turns tide on Labor’s skills shortage,https://statements.qld.gov.au/statements/105043,14.md,Yes
2026-05-08,Crisafulli Government permanently blocks Reedy Creek quarry,https://statements.qld.gov.au/statements/105044,15.md,Yes
2026-05-07,Crisafulli Government unites communities for Reconciliation Week,https://statements.qld.gov.au/statements/105030,16.md,Yes
2026-05-07,"Crisafulli Government delivers $500,000 for Tingalpa Creek Bridge business case",https://statements.qld.gov.au/statements/105031,17.md,No
