Date,Title,URL
2026-05-29,Disaster Ready Fund applications open,https://www.dpac.tas.gov.au/news/tile-groups/disaster-ready-fund-applications-open
2026-05-28,Give feedback on our new website,https://www.dpac.tas.gov.au/news/tile-groups/give-feedback-on-our-new-website
2026-05-28,A new look for jobs.tas.gov.au,https://www.dpac.tas.gov.au/news/tile-groups/a-new-look-for-jobs-tas-gov-au
2026-05-28,Veterans Employment Portal launches,https://www.dpac.tas.gov.au/news/tile-groups/veterans-employment-portal-launches
2026-05-25,The countdown is on: only 5 weeks until Payday Super starts,https://www.ato.gov.au/media-centre/the-countdown-is-on-only-5-weeks-until-payday-super-starts
2026-05-27,Grant submissions closing soon,https://resources.vic.gov.au/about-us/news/grant-submissions-closing-soon
2026-05-28,Commission discusses gas and oil supply risks with EU countries as the conflict in the Middle East reaches a 3-month mark,https://energy.ec.europa.eu/news/commission-discusses-gas-and-oil-supply-risks-eu-countries-conflict-middle-east-reaches-3-month-mark-2026-05-28_en
2026-05-27,New EU Task Force on Fusion Energy,https://energy.ec.europa.eu/news/new-eu-task-force-fusion-energy-2026-05-27_en
2026-05-22,Commission awards €400 million to European projects to decarbonise heat production,https://ec.europa.eu/commission/presscorner/detail/en/ip_26_1134
2026-05-22,Copenhagen Forum underlines importance of energy infrastructure,https://energy.ec.europa.eu/news/copenhagen-forum-underlines-importance-energy-infrastructure-2026-05-22_en
2026-05-22,IMO adopts first global Code for autonomous ships,https://www.imo.org/en/MediaCentre/PressBriefings/pages/IMO-adopts-MASS-Code.aspx
2026-05-28,Control over Scotland’s energy,https://www.gov.scot/news/control-over-scotlands-energy/
2026-05-27,First Homes Fund open by end of June,https://www.gov.scot/news/first-homes-fund-open-by-end-of-june/
2026-05-27,Monthly GDP Estimates for March,https://www.gov.scot/news/monthly-gdp-estimates-for-march-3/
2026-05-27,Scottish Shellfish Farm Production Survey 2025,https://www.gov.scot/news/scottish-shellfish-farm-production-survey-2025/
2026-05-26,Ambitious for Scotland,https://www.gov.scot/news/ambitious-for-scotland/
2026-05-26,"Over 321,000 children getting vital support",https://www.gov.scot/news/over-321-000-children-getting-vital-support/
2026-05-26,Progress on waiting times continues,https://www.gov.scot/news/progress-on-waiting-times-continues/
2026-05-26,"Housing Statistics for Scotland, 2024-25",https://www.gov.scot/news/housing-statistics-for-scotland-2024-25/
2026-05-26,Scottish House Condition Survey: Local Authority Tables,https://www.gov.scot/news/scottish-house-condition-survey-local-authority-tables/
2026-05-25,DFM kicks off Scotland’s Summer of Sport,https://www.gov.scot/news/dfm-kicks-off-scotlands-summer-of-sport/
2026-05-29,Strengthening drought resilience across the country,https://minister.agriculture.gov.au/collins/media-releases/7-fdf-drought-resilience-hubs
2026-05-28,Joint media release: Feral cats eradicated from Little Dog Island,https://minister.agriculture.gov.au/collins/media-release/joint-media-release-feral-cats-eradicated-from-little-dog-island
2026-05-27,Joint media release: Securing more fertiliser for Australian farmers,https://minister.agriculture.gov.au/collins/media-releases/securing-essential-fuel-and-fertiliser
2026-05-26,Joint media release: Digital incoming passenger card expanded to eligible Melbourne-bound international travellers,https://minister.agriculture.gov.au/collins/media-release/joint-media-release-aus-travel-declaration-pilot-expanded-to-melbourne
2026-05-26,Next generation of detector dog teams strengthening Australia's biosecurity frontline,https://minister.agriculture.gov.au/collins/media-releases/detector-dog-handler-graduates
